Item,Manufacturer,Price per item,No. of items,Cost 
ESP32 microcontroller,RobotEdu,MYR 29.90,2,MYR 59.80
pH sensor kit V2,Cytron,MYR 209.00,1,MYR 209.00
Gravity analog electrical conductivity kit V2,Autobotic Store,MYR 353.10,1,MYR 353.10
Gravity analog signal Isolator,Autobotic Store,MYR 96.20,1,MYR 96.20
0.96 inch OLED module,iConTech Component,MYR 12.90,1,MYR 12.90
DC 5V micro peristaltic pump,supertradestore.my,MYR 7.45,1,MYR 7.45
5V 4 channel relay,RobotEdu,MYR 9.90,2,MYR 19.80
UV T5 LED growing light,Jamiin Official Store,MYR 23.00,2,MYR 46.00
Water tube (1m),Sainapse,MYR 2.00,3,MYR 6.00
"Water tube (8mm, 5meter)",Universal Assistant Shop,MYR 6.00,1,MYR 6.00
DHT11,RobotEdu,MYR 4.90,1,MYR 4.90
5V Fan,RobotEdu,MYR 7.90,1,MYR 7.90
LDR module,RobotEdu,MYR 4.90,1,MYR 4.90
Float switch,RobotEdu,MYR 4.90,2,MYR 9.80
300 ml pH Down buffer solution,Baja AB Hydroponics Fertigasi,MYR 20.00,1,MYR 20.00
300 ml pH Up buffer solution,Baja AB Hydroponics Fertigasi,MYR 28.00,1,MYR 28.00
"Submergible water pump (90cm, 5W)",Baja AB Hydroponics Fertigasi,MYR 15.90,1,MYR 15.90
"PVC pipe (25mm, 1m)",Rong Fatt,MYR 3.80,10,MYR 38.00
"PVC tee fitting pipe joint connector (25mm, white)",Rong Fatt,MYR 0.64,2,MYR 1.28
"PVC end cap fitting pipe joint connector (25mm, white)",Rong Fatt,MYR 0.54,4,MYR 2.16
"PVC 4 way fitting pipe joint connector (25mm, white)",Rong Fatt,MYR 1.24,8,MYR 9.92
10L AgroBuddy liquid AB set water fertilizer,AgroBuddy Offical Store,MYR 36.00,1,MYR 36.00
Overall total,,,,MYR 995.01
