Timestamp,EC (mS/cm),pH (pH),ECPH control
2024-03-20 17:04:33 +0800,0.70418,7.30395,0
2024-03-20 17:04:48 +0800,0.70245,7.33158,0
2024-03-20 17:05:04 +0800,0.70418,7.36553,0
2024-03-20 17:05:20 +0800,0.70418,7.34263,1
2024-03-20 17:05:36 +0800,0.70245,7.35211,1
2024-03-20 17:05:52 +0800,0.70245,7.31737,1
2024-03-20 17:06:07 +0800,0.70187,7.32842,1
2024-03-20 17:06:22 +0800,0.70245,7.32526,1
2024-03-20 17:06:38 +0800,0.70129,7.30395,1
2024-03-20 17:06:54 +0800,0.70708,7.35921,1
2024-03-20 17:07:10 +0800,0.72851,7.35447,1
2024-03-20 17:07:25 +0800,0.72677,7.29763,1
2024-03-20 17:07:41 +0800,0.73372,7.28974,1
2024-03-20 17:07:57 +0800,0.72619,7.27632,1
2024-03-20 17:08:12 +0800,0.75051,7.31895,1
2024-03-20 17:08:28 +0800,0.83796,7.31026,1
2024-03-20 17:08:44 +0800,0.78873,7.33158,1
2024-03-20 17:09:00 +0800,0.7702,7.35053,1
2024-03-20 17:09:15 +0800,0.7731,7.34816,1
2024-03-20 17:09:31 +0800,0.79163,7.33868,1
2024-03-20 17:09:48 +0800,0.79626,7.33237,1
2024-03-20 17:10:04 +0800,0.80031,7.34421,1
2024-03-20 17:10:20 +0800,0.79973,7.33789,1
2024-03-20 17:10:36 +0800,0.81247,7.31342,1
2024-03-20 17:10:51 +0800,0.809,7.36237,1
2024-03-20 17:11:07 +0800,0.80842,7.29289,1
2024-03-20 17:11:23 +0800,0.80147,7.27079,1
2024-03-20 17:11:39 +0800,0.81479,7.25105,1
2024-03-20 17:11:54 +0800,0.80842,7.15237,1
2024-03-20 17:12:10 +0800,0.80784,7.08447,1
2024-03-20 17:12:26 +0800,0.79858,7.07737,1
2024-03-20 17:12:43 +0800,0.80031,6.99684,1
2024-03-20 17:12:58 +0800,0.809,6.94553,1
2024-03-20 17:13:14 +0800,0.81537,6.89816,1
2024-03-20 17:13:30 +0800,0.81653,6.92421,1
2024-03-20 17:13:45 +0800,0.81479,6.95974,1
2024-03-20 17:14:00 +0800,0.81827,6.91158,1
2024-03-20 17:14:16 +0800,0.81769,6.96289,1
2024-03-20 17:14:31 +0800,0.81711,6.97553,1
2024-03-20 17:14:46 +0800,0.81769,6.90289,1
2024-03-20 17:15:01 +0800,0.81711,7.01658,1
2024-03-20 17:15:17 +0800,0.81711,6.97316,1
2024-03-20 17:15:33 +0800,0.81711,6.98816,1
2024-03-20 17:15:49 +0800,0.81827,7.03632,1
2024-03-20 17:16:05 +0800,0.81653,7.08053,1
2024-03-20 17:16:20 +0800,0.81711,7.05289,1
2024-03-20 17:16:35 +0800,0.81711,7.07737,1
2024-03-20 17:16:51 +0800,0.81711,7.04342,1
2024-03-20 17:17:07 +0800,0.81653,7.10026,1
2024-03-20 17:17:22 +0800,0.81653,7.10895,1
2024-03-20 17:17:39 +0800,0.81653,7.09868,1
2024-03-20 17:17:55 +0800,0.81653,7.09632,1
2024-03-20 17:18:11 +0800,0.81653,7.12395,1
2024-03-20 17:18:27 +0800,0.81653,7.13974,1
2024-03-20 17:18:43 +0800,0.81653,7.11605,1
2024-03-20 17:18:59 +0800,0.81653,7.11211,1
2024-03-20 17:19:15 +0800,0.81653,7.12395,1
2024-03-20 17:19:31 +0800,0.81653,7.11132,1
2024-03-20 17:19:48 +0800,0.81653,7.09947,1
2024-03-20 17:20:03 +0800,0.81653,7.08605,1
2024-03-20 17:20:19 +0800,0.81653,7.10974,1
2024-03-20 17:20:35 +0800,0.81653,7.12,1
2024-03-20 17:20:51 +0800,0.81653,7.07421,1
2024-03-20 17:21:07 +0800,0.81653,7.10974,1
2024-03-20 17:21:23 +0800,0.81653,7.06474,1
2024-03-20 17:21:38 +0800,0.81653,7.09395,1
2024-03-20 17:21:54 +0800,0.81653,7.12474,1
2024-03-20 17:22:10 +0800,0.81595,7.08921,1
2024-03-20 17:22:26 +0800,0.81653,7.10342,1
2024-03-20 17:22:43 +0800,0.81595,7.13974,1
2024-03-20 17:22:58 +0800,0.81653,7.12158,1
2024-03-20 17:23:14 +0800,0.81595,7.09474,1
2024-03-20 17:23:30 +0800,0.81595,7.12553,1
2024-03-20 17:23:46 +0800,0.81653,7.14526,1
2024-03-20 17:24:01 +0800,0.81653,7.10737,1
2024-03-20 17:24:17 +0800,0.81653,7.14684,1
2024-03-20 17:24:33 +0800,0.81653,7.09395,1
2024-03-20 17:24:48 +0800,0.81653,7.09474,1
2024-03-20 17:25:04 +0800,0.81653,7.11763,1
2024-03-20 17:25:19 +0800,0.81653,7.13737,1
2024-03-20 17:25:35 +0800,0.81653,7.08053,1
2024-03-20 17:25:51 +0800,0.81595,7.09474,1
2024-03-20 17:26:06 +0800,0.81653,7.13816,1
